cpu,num_downloads,python_version,pip_version,glibc_version
x86_64,2428425,3.7,20.1,2.24
x86_64,2355601,3.7,20.0,2.27
x86_64,1243430,3.7,20.2,2.28
x86_64,1020559,3.7,19.0,2.23
x86_64,862355,3.6,21.1,2.27
x86_64,667462,3.7,9.0,2.26
x86_64,602921,3.7,21.0,2.28
x86_64,540377,3.6,19.2,2.27
x86_64,533096,3.7,21.1,2.26
x86_64,471420,3.7,20.1,2.28
x86_64,467865,3.6,20.1,2.28
x86_64,456534,3.6,9.0,2.17
x86_64,437521,3.6,21.1,2.17
x86_64,393110,3.7,21.1,2.28
x86_64,381454,3.8,21.1,2.31
x86_64,373653,3.8,19.3,2.27
x86_64,350010,2.7,9.0,2.17
x86_64,348489,3.6,20.2,2.28
x86_64,317406,3.7,20.1,2.23
x86_64,304177,3.8,20.2,2.27
x86_64,292023,3.8,21.1,2.28
x86_64,277560,3.6,19.3,2.27
x86_64,263418,3.7,21.1,2.27
x86_64,227201,3.6,20.2,2.27
x86_64,199479,3.7,19.3,2.27
x86_64,174923,3.7,20.2,2.26
x86_64,170603,3.7,21.1,2.31
x86_64,169044,3.8,20.0,2.31
x86_64,167658,3.9,21.0,2.28
x86_64,146992,3.6,21.1,2.12
x86_64,139443,3.8,20.2,2.23
x86_64,137715,3.7,20.1,2.27
x86_64,136647,3.7,20.3,2.28
x86_64,133217,3.9,21.1,2.31
x86_64,132218,3.9,21.1,2.28
x86_64,125672,3.7,19.0,2.27
x86_64,125355,3.7,21.1,2.23
x86_64,109228,3.6,21.1,2.28
x86_64,105756,3.7,20.0,2.28
x86_64,101241,3.7,19.3,2.28
x86_64,100951,3.6,9.0,2.27
x86_64,100165,3.6,21.0,2.28
x86_64,95326,3.8,21.1,2.27
x86_64,94157,3.7,21.0,2.27
x86_64,92909,3.6,20.1,2.27
x86_64,92739,3.6,21.1,2.23
x86_64,87761,3.6,21.1,2.31
x86_64,83525,3.8,21.0,2.28
x86_64,72037,2.7,9.0,2.27
x86_64,71636,3.7,20.2,2.27
x86_64,69231,3.7,19.2,2.24
x86_64,68420,3.6,20.1,2.24
x86_64,68235,3.5,20.0,2.23
x86_64,64074,2.7,20.3,2.17
x86_64,62780,3.6,10.0,2.23
x86_64,62223,3.6,19.1,2.23
x86_64,60839,3.7,21.1,2.17
x86_64,59498,3.5,19.1,2.23
x86_64,57844,3.8,20.2,2.28
x86_64,57527,3.6,20.0,2.27
x86_64,57340,3.6,20.2,2.23
x86_64,56700,3.6,20.3,2.27
x86_64,54728,3.8,20.1,2.31
x86_64,53583,2.7,8.1,2.7
x86_64,51172,2.7,20.3,2.27
x86_64,49817,3.5,20.3,2.23
x86_64,47385,3.6,20.1,2.17
x86_64,46703,3.8,20.1,2.28
x86_64,46642,3.7,18.1,2.28
x86_64,46180,3.9,20.1,2.31
x86_64,42803,3.7,21.1,2.24
x86_64,42686,3.7,9.0,2.27
x86_64,42078,3.6,21.1,2.26
x86_64,40526,3.7,20.1,2.17
x86_64,39194,3.8,20.2,2.26
x86_64,39192,2.7,20.1,2.27
x86_64,38845,3.6,19.1,2.24
x86_64,38745,3.7,19.3,2.24
x86_64,37461,2.7,20.0,2.24
x86_64,37179,3.9,20.2,2.31
x86_64,36320,2.7,19.3,2.23
x86_64,35872,3.5,19.3,2.23
x86_64,35666,3.6,21.1,2.24
x86_64,35145,3.6,21.0,2.27
x86_64,34525,3.8,20.3,2.28
x86_64,34243,3.6,18.1,2.17
x86_64,34239,2.7,19.0,2.27
x86_64,33874,3.7,19.0,2.17
x86_64,32321,2.7,20.3,2.24
x86_64,31157,2.7,20.3,2.23
x86_64,30536,2.7,19.3,2.24
x86_64,29957,3.8,20.2,2.31
x86_64,29608,3.7,21.0,2.24
x86_64,28735,3.8,21.1,2.26
x86_64,28359,3.6,19.0,2.28
x86_64,27869,3.7,18.1,2.27
x86_64,27492,3.8,18.1,2.27
x86_64,27113,3.5,9.0,2.19
x86_64,26846,3.7,19.3,2.29
x86_64,26769,2.7,20.2,2.26
x86_64,26562,2.7,19.1,2.23
x86_64,25255,3.5,20.2,2.24
x86_64,24714,3.9,21.0,2.27
x86_64,24228,3.9,21.1,2.27
x86_64,23806,3.6,20.1,2.23
x86_64,23454,3.8,20.1,2.27
x86_64,23312,3.7,20.0,2.26
x86_64,22568,3.8,21.0,2.31
x86_64,22112,3.6,21.0,2.24
x86_64,21920,3.7,20.0,2.17
x86_64,21796,3.6,19.3,2.17
x86_64,21440,3.6,20.2,2.17
