cpu,num_downloads,python_version,glibc_version
x86_64,4562504,3.9,2.27
x86_64,3982920,3.11,2.35
x86_64,3611306,3.10,2.35
x86_64,2454227,3.11,2.34
aarch64,2409469,3.10,2.35
x86_64,2079761,3.12,2.39
x86_64,2066565,3.11,2.36
x86_64,1726619,3.11,2.39
x86_64,1214919,3.9,2.31
x86_64,1213487,3.10,2.39
x86_64,1094814,3.10,2.36
x86_64,1074239,3.10,2.31
x86_64,973799,3.9,2.39
x86_64,944696,3.9,2.35
x86_64,867584,3.8,2.31
x86_64,846192,3.12,2.36
x86_64,817085,3.10,2.26
aarch64,689669,3.9,2.34
x86_64,632566,3.9,2.36
x86_64,512980,3.12,2.35
x86_64,511481,3.12,2.31
x86_64,489803,3.9,2.34
x86_64,475426,3.11,2.31
x86_64,408982,3.13,2.39
x86_64,398950,3.9,2.26
x86_64,308613,3.13,2.36
aarch64,302899,3.9,2.35
aarch64,302891,3.9,2.36
aarch64,296461,3.11,2.35
x86_64,267910,3.8,2.39
aarch64,253729,3.11,2.36
x86_64,250065,3.12,2.34
x86_64,201654,3.13,2.31
x86_64,196483,3.9,2.28
aarch64,175438,3.12,2.39
x86_64,158880,3.10,2.28
x86_64,131632,3.8,2.26
aarch64,116462,3.12,2.36
aarch64,105057,3.9,2.31
aarch64,103951,3.10,2.36
x86_64,93642,3.12,2.40
x86_64,91243,3.11,2.28
x86_64,86959,3.8,2.28
x86_64,85301,3.13,2.35
x86_64,73103,3.8,2.36
x86_64,67972,3.11,2.41
aarch64,64102,3.11,2.34
x86_64,59820,3.13,2.41
x86_64,59451,3.11,2.26
x86_64,53069,3.8,2.35
x86_64,52053,3.10,2.34
x86_64,44554,3.9,2.17
x86_64,43736,3.11,2.40
x86_64,39478,3.8,2.27
aarch64,30270,3.10,2.34
x86_64,28019,3.10,2.17
aarch64,27043,3.13,2.36
x86_64,23302,3.12,2.28
aarch64,23134,3.11,2.31
aarch64,18661,3.12,2.31
x86_64,17872,3.12,2.41
aarch64,17007,3.8,2.31
aarch64,15224,3.11,2.39
x86_64,13238,3.13,2.34
aarch64,12477,3.12,2.34
x86_64,11502,3.12,2.38
x86_64,11189,3.10,2.41
aarch64,8941,3.10,2.31
x86_64,8935,3.10,2.27
aarch64,7843,3.9,2.26
aarch64,7121,3.12,2.35
aarch64,7013,3.10,2.26
x86_64,6971,3.13,2.40
aarch64,6723,3.13,2.39
x86_64,5625,3.10,2.40
x86_64,5271,3.8,2.17
aarch64,4465,3.13,2.34
x86_64,4439,3.13,2.28
x86_64,3903,3.11,2.38
aarch64,3891,3.8,2.26
x86_64,3712,3.9,2.41
x86_64,3674,3.11,2.17
x86_64,3664,3.8,2.34
aarch64,3524,3.11,2.28
aarch64,3446,3.11,2.41
aarch64,3210,3.13,2.41
aarch64,2993,3.12,2.41
x86_64,2813,3.9,2.37
x86_64,2690,3.9,2.40
aarch64,2446,3.13,2.35
aarch64,2417,3.13,2.31
x86_64,2400,3.12,2.26
aarch64,2382,3.9,2.39
aarch64,2368,3.8,2.28
aarch64,2015,3.10,2.39
aarch64,1891,3.9,2.28
x86_64,1788,3.11,2.27
x86_64,1708,3.10,2.37
x86_64,1683,3.9,2.33
x86_64,1626,3.12,2.27
aarch64,1623,3.11,2.38
x86_64,1602,3.8,2.23
x86_64,1334,3.11,2.19
x86_64,1264,3.11,2.37
aarch64,1112,3.12,2.28
aarch64,1004,3.13,2.28
aarch64,980,3.8,2.36
x86_64,937,3.8,2.41
aarch64,887,3.10,2.28
x86_64,856,3.8,2.24
x86_64,789,3.12,2.17
aarch64,786,3.11,2.26
x86_64,786,3.10,2.33
x86_64,754,3.10,2.38
x86_64,589,3.8,2.32
x86_64,566,3.9,2.24
aarch64,480,3.8,2.35
x86_64,418,3.10,2.23
aarch64,390,3.12,2.40
x86_64,387,3.9,2.23
armv7l,327,3.9,2.31
x86_64,325,3.9,2.38
x86_64,308,3.14,2.39
x86_64,274,3.13,2.17
aarch64,262,3.13,2.40
aarch64,221,3.10,2.40
aarch64,215,3.10,2.41
aarch64,198,3.9,2.17
x86_64,190,3.10,2.32
x86_64,139,3.13,2.38
aarch64,134,3.12,2.26
aarch64,124,3.12,2.17
x86_64,120,3.8,2.40
x86_64,115,3.14,2.41
x86_64,113,3.8,2.37
aarch64,107,3.11,2.17
x86_64,104,3.9,2.19
x86_64,101,3.9,2.32
x86_64,91,3.13,2.27
aarch64,91,3.9,2.41
aarch64,90,3.8,2.27
aarch64,89,3.10,2.17
x86_64,87,3.11,2.32
armv7l,87,3.11,2.36
x86_64,85,3.14,2.36
x86_64,82,3.11,2.23
aarch64,76,3.8,2.39
x86_64,71,3.9,2.22
aarch64,70,3.12,2.38
x86_64,70,3.13,2.26
aarch64,68,3.9,2.27
x86_64,67,3.12,2.37
aarch64,64,3.13,2.17
x86_64,56,3.12,2.32
x86_64,44,3.11,2.25
s390x,40,3.12,2.28
aarch64,40,3.10,2.38
s390x,38,3.12,2.39
x86_64,38,3.8,2.22
aarch64,37,3.11,2.40
x86_64,36,3.10,2.19
aarch64,35,3.14,2.41
ppc64le,32,3.12,2.39
x86_64,28,3.14,2.35
aarch64,27,3.11,2.37
aarch64,24,3.10,2.27
x86_64,22,3.11,2.22
x86_64,22,3.8,2.38
x86_64,22,3.13,2.37
x86_64,21,3.14,2.17
ppc64le,20,3.13,2.41
s390x,20,3.13,2.41
aarch64,19,3.14,2.39
aarch64,16,3.13,2.38
aarch64,16,3.11,2.27
x86_64,15,3.11,2.33
x86_64,15,3.10,2.24
x86_64,13,3.12,2.19
aarch64,13,3.9,2.33
ppc64le,12,3.11,2.17
s390x,12,3.11,2.34
aarch64,12,3.14,2.17
ppc64le,12,3.10,2.34
ppc64le,12,3.12,2.34
x86_64,12,3.14,2.31
x86_64,12,3.12,2.33
x86_64,11,3.8,2.33
aarch64,10,3.13,2.26
armv7l,10,3.13,2.31
armv7l,10,3.12,2.31
aarch64,10,3.12,2.27
armv7l,10,3.10,2.31
x86_64,9,3.9,2.12
x86_64,8,3.9,2.29
x86_64,8,3.11,2.24
x86_64,8,3.14,2.40
x86_64,8,3.15,2.35
armv7l,8,3.11,2.28
aarch64,8,3.10,2.32
aarch64,8,3.12,2.41-1
x86_64,8,3.12,2.22
aarch64,8,3.10,2.37
x86_64,8,3.8,2.19
armv7l,8,3.11,2.31
ppc64le,7,3.10,2.28
s390x,7,3.10,2.34
aarch64,7,3.9,2.40
armv7l,6,3.10,2.36
armv7l,6,3.12,2.28
armv7l,6,3.13,2.36
aarch64,6,3.9,2.38
s390x,6,3.12,2.34
s390x,6,3.10,2.35
x86_64,6,3.10,2.22
armv8l,6,3.12,2.31
aarch64,5,3.8,2.34
x86_64,4,3.13,2.32
armv7l,4,3.10,2.35
aarch64,4,3.14,2.36
x86_64,4,3.15,2.41
s390x,4,3.11,2.28
armv7l,4,3.13,2.28
s390x,4,3.10,2.28
x86_64,4,3.12,2.23
ppc64le,4,3.11,2.34
i686,4,3.9,2.31
i686,4,3.13,2.41
armv7l,3,3.9,2.36
aarch64,2,3.8,2.24
ppc64le,2,3.11,2.28
armv8l,2,3.8,2.31
armv8l,2,3.10,2.35
x86_64,2,3.11,2.21
x86_64,2,3.10,2.25
x86_64,2,3.13,2.33
aarch64,2,3.9,2.32
aarch64,2,3.14,2.31
armv7l,2,3.11,2.35
x86_64,2,3.10,2.18
aarch64,2,3.12,2.23
x86_64,2,3.13,2.22
aarch64,1,3.8,2.19
x86_64,1,3.9,2.14
armv7l,1,3.12,2.36
i686,1,3.9,2.41
x86_64,1,3.12,2.24
